退出中共|Quit CPC
六四+镇压+学生|June 4 Crackdown Student
天安门镇压|Tiananmen Crackdown
89年+学潮+镇压|89 Year Student Strike Crackdown
六四+学生+民主运动|June 4 Student Democracy Movement
自由西藏|Free Tibet
藏青会|Tibetan Youth Congress
西藏独立|Tibet Independence (Movement)
雪山狮子旗|Snow Lion Flag
自由亞洲電台|Radio Free Asia
wisalstudio+com|wisalstudio com
allah+yolida|For the sake of Allah/God
دىن+ئىسلام+يولۋاس|Faith/Religion is Islam
ئىسلام+ئاۋازى|Voice of Islam
ئاللاھ+يولىدا|For the sake of Allah/God
جەننەت+ئاشىق|In love with/enthusiastic for Heaven/Jannah
بولۇ+شەھىد|Become martyr
15日实行+全市大罢工+灌云+连云港|15 day + carry out City-wide strike + Guanyun + Lianyungang
通商宽衣|Facilitate Commerce and Loosen Clothing
习核心|Xi Core
台湾+声援+中国人权+律师|Taiwan + Voice Support + China Human Rights + Lawyer
中共的压力+禁止长平+被迫流亡|Pressure from CCP + Ban Chang Ping + Forced Exile
港媒披露+400亿元+内鬼就在会议室|Hong Kong Media Reported + 40 Million Yuan + Double Agent/mole meeting room
联合早报网讯+特朗普+蔡英文通电话|United Morning Post/Lianhe Zaobao Report + Trump + Tsai Ing-wen Phone Call
中国政府发起+挑衅行为+分离省份|The Chinese government launched + provocation + separation provinces
特朗普此舉+激怒中國+背叛國家的省份|Trump this + angered China + betrayal of the country's provinces
激怒中国政府+特朗普+外交争端|Angered the Chinese government + Trump + diplomatic disputes
习近平逗逗闷子+中共当局+假选举|Xi Jinping funny boredom + the Chinese Communist Party + fake election
中国流亡异见人士呼吁特朗普关注人权|Chinese exile dissidents call on Trump to focus on human rights
习近平打交道+麻烦之一+危机更加失控|Xi Jinping deal + trouble + crisis more out of control
下午7点+春熙路集合+正视雾霾根源|7 PM + Chunxi Road Gather + Face root causes of smog
向中央示好+教育系统开始清理+自由派|Court Central (Govt) + Start clearning up education system + Liberal Camp
港独+香港民族党召集人陈浩天|Hong Kong Independence + Hong Kong National Party Convenor Chan Ho-tin
港獨+香港民族黨召集人陳浩天|Hong Kong Independence + Hong Kong National Party Convenor Chan Ho-tin
占领中环+支持香港抗争|Occupy Central + Support HK Fight
梁振英的命运+中共统治+它的红线|CY Leung's Fate + CCP's Rule + Its Bottom Line
中国当局+罔顾家属意愿+中共专制政权|China authorities + Ignore Family's Will + CCP Authoritarian Regmie
中國當局+罔顧家屬意願+中共專制政權|China authorities + Ignore Family's Will + CCP Authoritarian Regmie
当局强拆+喝药自杀的悲剧+14户拆迁户|Force Demolition by Authorities + Tragedy of Taking Drugs to Commit Suicide + 14 Familiies Faced by Demolition
當局強拆+喝藥自殺的悲劇+14戶拆遷戶|Force Demolition by Authorities + Tragedy of Taking Drugs to Commit Suicide + 14 Familiies Faced by Demolition
声援+西藏精神领袖达赖喇嘛|Voice Support + Tibet's Spiritual Leader Dalai Lama
聲援+西藏精神領袖達賴喇嘛|Voice Support + Tibet's Spiritual Leader Dalai Lama
中共当局+流亡藏人+达赖喇嘛|CCP Authorities + Tibetans in Exile + Dalai Lama
达赖喇嘛+万岁|Dalai Lama + Long Live
民生观察网刘飞跃+中共|Civil Rights and Livelihood Watch Website Liu Feiyue + CCP
严控信息+禁令的目的是阻止被当局认为有可能削弱共产党统治|Strictly Control Information + Goal of Directives Is To Block --- that might weaken CCP rule
嚴控信息+禁令的目的是阻止被當局認爲有可能削弱共產黨統治|Strictly Control Information + Goal of Directives Is To Block --- that might weaken CCP rule
使用威胁+党内调查+中共自己炮制|Use Threats + Intra-party Investigation + CCP Designs Itself
分析文章+习近平的改革+腐败注资|Op-ed + Xi Jinping's Reform + Corruption Investment
分析文章+習近平的改革+腐敗注資|Op-ed + Xi Jinping's Reform + Corruption Investment
游蕙祯+今天统治着13亿+出卖中国人的血|Yau Wai-ching + Today Ruling 1.3 Billion + Sell Chinese People's Blood
致习近平的批评性公开信+中穆网|A Critical Open Letter To Xi Jinping + China Muslim Net
致習近平的批評性公開信+中穆網|A Critical Open Letter To Xi Jinping + China Muslim Net
党为了政治+神州遍地生霾+各种蓝就出来|Party for Political Purposes + Shenzhou (China) Produces Smog Everywhere + All Kinds of Blue Would Come Out
自由将大大萎缩+迫使政府撤回+叶刘淑仪|Freedom Will Decline Largely + Force Goverment to Take Back + Regina Ip Lau Suk-yee
自由將大大萎縮+迫使政府撤回+葉劉淑儀|Freedom Will Decline Largely + Force Goverment to Take Back + Regina Ip Lau Suk-yee
毛式独裁+党内元老+提名继任者|Maoist Authocracy + Party Senior + Nominate Successor
毛式獨裁+黨內元老+提名繼任者|Maoist Authocracy + Party Senior + Nominate Successor
Jinping+autocracy+successor|
习近平缺少+一人独裁+容易操纵|Xi Jinping Lacks + One-man Autocracy + Easy to Manipulate
習近平缺少+一人獨裁+容易操縱|Xi Jinping Lacks + One-man Autocracy + Easy to Manipulate
选美冠军林耶凡+中国当局拒绝入境|Beauty Queen Anastasia Lin + Chinese Authorities Block Entering Border
選美冠軍林耶凡+中國當局拒絕入境|Beauty Queen Anastasia Lin + Chinese Authorities Block Entering Border
人权律师+江天勇+失踪|Human Rights Lawyer + Jiang Tianyong + Missing
人權律師+江天勇+失蹤|Human Rights Lawyer + Jiang Tianyong + Missing
江天勇+709+维权律师|Jiang Tianyong + 709 + Rights Lawyer
江天勇+709+維權律師|Jiang Tianyong + 709 + Rights Lawyer
流亡美国+乌坎村民+武力镇压|Exile to America + Wukan Villager + Military Crackdown
流亡美國+烏坎村民+武力鎮壓|Exile to America + Wukan Villager + Military Crackdown
习近平+铁腕手法+大权独揽|Xi Jinping + Iron Fist + Hold All Power
習近平+鐵腕手法+大權獨攬|Xi Jinping + Iron Fist + Hold All Power
异议人士彭明+强烈质疑+拒绝前往中国|Dissident Peng Ming + Seriously Doubt + Refuse to Go to China
異議人士彭明+強烈質疑+拒絕前往中國|Dissident Peng Ming + Seriously Doubt + Refuse to Go to China
维权人士+诺贝尔和平奖+刘晓波|Rights Activist + Nobel Peace Prize + Liu Xiaobo
維權人士+諾貝爾和平獎+劉曉波|Rights Activist + Nobel Peace Prize + Liu Xiaobo
外长李大维+谴责圣国+待价而沽|Foreign Minister Li Dawei + Denounce São Tomé + Wait for the Right Price
外長李大維+譴責聖國+待價而沽|Foreign Minister Li Dawei + Denounce São Tomé + Wait for the Right Price
起诉北京+政府不正确履行+防治责任违法|Sue Beijing + Govt Not Fulfiling + Breaking Responsibility of Prevention and Control 
起訴北京+政府不正確履行+防治責任違法|Sue Beijing + Govt Not Fulfiling + Breaking Responsibility of Prevention and Control 
访民廖建军+中南海喊冤+当局+打击上访|Petitioner Liao Jianjun + Cry Out Grievances in Zhongnanhai + Authorities + Crack down on Petitions 
訪民廖建軍+中南海喊冤+當局+打擊上訪|Petitioner Liao Jianjun + Cry Out Grievances in Zhongnanhai + Authorities + Crack down on Petitions 
中央政府+無法猜透+中南海高層|Centrl Govt + Unable to Guess + High-Level Figures in Zhongnanhai
中央政府+无法猜透+中南海高层|Centrl Govt + Unable to Guess + High-Level Figures in Zhongnanhai
镇压民众+六四天网+大陆被封锁|Crack Down on Civilian + June 4 Tianwang + Blocked in Mainland
人被弄死+编造故事+雷洋案|Cause a person's death + Make Up Story + Lei Yang Case
人被弄死+編造故事+雷洋案|Cause a person's death + Make Up Story + Lei Yang Case
推翻共产党+政变+习近平|Overthrow CCP + Coup + Xi Jinping
周永康的亲信+王建平+被带走|Zhou Yongkang's Trusted Follower + Wang Jianping + Taken Away
Yongkang+Xi+corruption|
不予起诉+法治耻辱+历届校友|Dismiss Charges + Shame on Rule of Law + Alumni
共产党高层+整肃涉台+恫吓台湾|CCP High-leve + Put Taiwan-related (officials) in order + Intimidate Taiwan
学生游行+六四镇压|Student demonstration + June 4 Crackdown
频繁攻击+伊斯兰恐惧症+穆斯林的仇恨|Frequently Attack + Islamophobia + Hate against Muslim
新疆的分裂+发动恐怖袭击+压迫性政策|Xijiang's Separation + Launch Terrorist Attack + Oppressive Policy
维权组织+政府在新疆的高压政策+地区动荡|Rights Organization + Goverment's oppressive policies in Xinjiang + Turmoil in the Region
Islam+Awazi|
揣测北京+忠于中共的一派+中国地下教会|Conjecture Beijing + Faction Loyal to CCP + Chiness Underground Church
黄奇帆+取代杨晶+任国务院秘书长|Huang Qifan + Replace Yang Jing + Appointed 
銅鑼灣書店+桂民海|Causeway Bay Bookstore + Gui Minhai
习近平+反腐运动+权力斗争|Xi Jinping + Anti-graft Campaign + Power Struggle
習近平+反腐運動+權力鬥爭|Xi Jinping + Anti-graft Campaign + Power Struggle
党内+权力斗争+薄熙来|Intra-party + Power Struggle + Bo Xilai
人权活动+公民社会+习近平|Human Rights Activities + Civil Society + Xi jinping
stick+Jinping+freedom|
发动政变+周永康|Launch Coup + Zhou Yongkang
达赖喇嘛+1月3日+金刚灌顶法会|Dalai Lama + January 3 + Kalachakra Initiation
達賴喇嘛+1月3日+金剛灌頂法會|Dalai Lama + January 3 + Kalachakra Initiation
Kalachakra+Dalai+Lama+Tibetan|
གོང་ས་༸+མཆོག|
གོང་ས་+མཆོག|
གོང་ས་མཆོག|
新闻自由公敌+习近平+再度上榜|Enemy of Freedom of Press + Xi Jinping + On the List Again
遭当局频繁禁言+网络封锁+中共对公共舆论|Frequently Banned From Speaking Out by Authorities + Internet Blackout + CCP against Public Opinion
达赖喇嘛+菩提伽耶+金刚灌顶法会|Dalai Lama +  Bodh Gaya +  Kalachakra Initiation
達賴喇嘛+菩提伽耶+金剛灌頂法會|Dalai Lama +  Bodh Gaya +  Kalachakra Initiation
बोधगया|Bodh Gaya 
बो|Bo
या|ya
丰台+公开信+清华校友|Fengtai + Open Letter + Tsinghua Alumni
雷洋案+央视的错+一个政权的错误|Lei Yang Case + CCTV's Misconduct + A Regime's Misconduct
雷洋案+央視的錯+一個政權的錯誤|Lei Yang Case + CCTV's Misconduct + A Regime's Misconduct
共产党垮台|CCP's downfall
声援西藏|Campaign for Tibet
聲援西藏|Campaign for Tibet
家族垄断国家+倒行逆施+投鼠忌器+中共政权|Family's Monopoly on State + Reactionary Policies + Hold back from taking action against an evil doer + CCP Regime 
家族壟斷國家+倒行逆施+投鼠忌器+中共政權|Family's Monopoly on State + Reactionary Policies + Hold back from taking action against an evil doer + CCP Regime 
举国体制+打造习近平+中国足球梦|Whole Nation System + Build Xi Jinping + China's Football Dream
舉國體制+打造習近平+中國足球夢|Whole Nation System + Build Xi Jinping + China's Football Dream
中国当局+温家宝的家族+屏蔽时报网站|Chinese Authorities + Wen Jiabao's family + Block NYT Website
中國當局+溫家寶的家族+屏蔽時報網站|Chinese Authorities + Wen Jiabao's family + Block NYT Website
纽约时报+温家宝家族财富|New York Times + Wen Jiabao family's wealth
被抓+江泽民|Arrested + Jiang Zemin
被抓+江澤民|Arrested + Jiang Zemin
公开信联署+谢小玲发起+雷洋| 
公開信聯署+謝小玲發起+雷洋|Open Lettle Co-signatory + Xie Xiaoling Initiated + Lei Yang
至高无上的领袖+达赖喇嘛尊者|Supreme Leader + His Holiness Dalai Lama
政治上失势+拥毛造势+独裁大恶|Lost Power in Politics + Endore Mao to Rally + Autocratic villain
习近平上台+官员自杀+非正常死亡|Xi Jinping Took Office + Officials Commit Suicide + Abnormal Death
遍地是灾+一党独裁+中国|Disaster Everywhere + One-Party Rule + China
乌坎村民+土地维权+当局非法打压|Wukan Villiagers + Defend Land Rights + Authorities' illegal crackdown
烏坎村民+土地維權+當局非法打壓|Wukan Villiagers + Defend Land Rights + Authorities' illegal crackdown
维权人士+中共+打压|Rights Defender + CCP + Crackdown
ལྷག་དཀར|Lhakar
被警方击毙+李长福+仍遭警察|Shot Dead By Police + Li Changfu + Still By Police
被警方擊斃+李長福+仍遭警察|Shot Dead By Police + Li Changfu + Still By Police
中共政权反击+试图清洗+政治伦理|CCP Regime Fight Back + Try to Clean up + Political Ethics 
中共政權反擊+試圖清洗+政治倫理|CCP Regime Fight Back + Try to Clean up + Political Ethics 
民主抗争+有钱人垄断+反对中共|Democracy Fight + Monopoly of the Rich + Anti-CCP
民主抗爭+有錢人壟斷+反對中共|Democracy Fight + Monopoly of the Rich + Anti-CCP
李立国+贪腐大案+包养了11名|Li Liguo + Huge Corruption Case + Have 11 Mistresses
大抓捕+深圳+邓剑峰+监视居住|Big Huntdown + Shenzhen + Deng Jianfeng + House Arrest
习近平将破例+出席达沃斯论坛+寻求连任|Xi Jinping Breaks Routine + Attend Davos + Seek Re-election
習近平將破例+出席達沃斯論壇+尋求連任|Xi Jinping Breaks Routine + Attend Davos + Seek Re-election
刘飞跃+非法维稳+殃及家属|Liu Feiyue + Illegally Maitain Stability + Bring Collateral Damage to Families
劉飛躍+非法維穩+殃及家屬|Liu Feiyue + Illegally Maitain Stability + Bring Collateral Damage to Families
34届时轮金刚大灌顶+尊者|34th Kalachakra Initiation + His Holiness
34屆時輪金剛大灌頂+尊者|34th Kalachakra Initiation + His Holiness
中国当局+达赖喇嘛+流亡藏人|Chinese Authorities + Dalai Lama + Tibetan in Exile
李立国+在任期间落马+小金库|Li Liguo + Sacked while in office + Little Coffers
宫内节育器+强迫性的残害+中国政府|IUD + Forced Acts of Mutilation + Chinese Govt
宮內節育器+強迫性的殘害+中國政府|IUD + Forced Acts of Mutilation + Chinese Govt
དུས་དབང+དངོས་གཞི|
བོད་མི|
習核心|Xi Core
性愛視頻+張曉江利用+進行打壓|Sex Tape + Zhang Xiaojiang Exploits + Suppress
性爱视频+张晓江利用+进行打压|Sex Tape + Zhang Xiaojiang Exploits + Suppress
尖锐问题+中国当局迟迟不提交补充报告+回避联会国|Tough Question + Chinese Authorities Delay Submitting Supplementary Report + Avoid UN
香港的人权+倒退的状况+免於恐惧|Human Rights in HK + Go Backward + Free of fear
香港的人權+倒退的狀況+免於恐懼|Human Rights in HK + Go Backward + Free of fear
习近平+公开信|Xi Jinping + Open Letter
習近平+公開信|Xi Jinping + Open Letter
銅鑼灣書店+員工失蹤事件+旺角騷亂|Causeway Bay Books + Staff Went Missing + Mongkok Riot
铜锣湾书店+员工失踪事件+旺角骚乱|Causeway Bay Books + Staff Went Missing + Mongkok Riot
新浪帮我强制休假+被请过喝茶|Sina Foces me to Take a Vacation + Invited to Drink Tea
南德意志报+妖魔化成新敌人+习近平+充满了讽刺|Suddeutsche Zeitung + Demonized as New Enemy + Xi Jinping + Full of Irony
南德意志報+妖魔化成新敵人+習近平+充滿了諷刺|Suddeutsche Zeitung + Demonized as New Enemy + Xi Jinping + Full of Irony
德国之声+习近平+民粹主义+达沃斯|Deutsche Welle + Xi Jinping + Nationalism + Davos
德國之聲+習近平+民粹主義+達沃斯|Deutsche Welle + Xi Jinping + Nationalism + Davos
马云+中共当局传话者+习近平探路|Ma Yun + CCP Authorities' Mouth-piece + Scout for Xi Jinping
馬雲+中共當局傳話者+習近平探路|Ma Yun + CCP Authorities' Mouth-piece + Scout for Xi Jinping
邓相超+毛粉+当局的打手|Deng Xiangchao + Maoism Supporter + Thug for the Authorities
鄧相超+毛粉+當局的打手|Deng Xiangchao + Maoism Supporter + Thug for the Authorities
六四+抗议+声援香港|June 4 + Protest + Voice Support Hong Kong
不准非议+中国共产党领导+网上流传|Criticism Forbidden + CCP's leadership + Disseminated Online
习近平+川普进行了+含蓄的批评|Xi Jinping + Trump Carried Out + Veiled Criticism
習近平+川普進行了+含蓄的批評|Xi Jinping + Trump Carried Out + Veiled Criticism
孟建柱+习近平+辱毛推墙|Meng Jianzhu + Xi Jinping + Insult Mao (Zedong) and Tear Down (GreaFire) Wall
孟建柱+習近平+辱毛推牆|Meng Jianzhu + Xi Jinping + Insult Mao (Zedong) and Tear Down (GreaFire) Wall
七不讲+不能讲+普世价值+高瑜|Seven Don't Mentions + Forbbiden Talks + Universal Values + Gao Yu
维权事件频发+企业倒闭潮+持续低迷|Rights Protests Hppen Frequently + Wave of Enterprises' Shutdown + Constantly Stagnant
維權事件頻發+企業倒閉潮+持續低迷|Rights Protests Hppen Frequently + Wave of Enterprises' Shutdown + Constantly Stagnant
各级人大+不合法+无底线自黑|People's Congress at all levels + Illegitimate + Self-deprecation
藏人协会+抗议活动+中共压迫|Tibetan Association + Protest + CCP Suppress
藏人協會+抗議活動+中共壓迫|Tibetan Association + Protest + CCP Suppress
危害国家安全+中国当局+严加控制|Endanger National Security + Chinese Authorities + Strict Control
危害國家安全+中國當局+嚴加控制|Endanger National Security + Chinese Authorities + Strict Control
习近平关系亲近+官僚气息+刘鹤的影响力|Proximity to Xi Jinping + Bureacratic-Sounding + Liu He's influence
Jinping+critical+Washington+elect|
必欲除之+祸国殃民+开历史的倒车|Must Get Rid of (Judicial Independence) + Disastrous to the country and the people + Go against the historical trend
达沃斯+习近平警惕贸易战+向美国喊话|Davos + Xi Jinping Warns Against Trade War + Send a Message to US
達沃斯+習近平警惕貿易戰+向美國喊話|Davos + Xi Jinping Warns Against Trade War + Send a Message to US
遭外界质疑+一例佐证+李克强|Meet with Doubts + A Piece of Evidence + Li Keqiang
人权律师+江天勇+秘密抓捕|Rights Lawyer + Jiang Tianyong + Secret Arrest
尊者+34屆時輪金剛灌頂|Dalai Lama + His Holiness + 34th Kalachakra Initiation
约束公民+吹捧毛泽东+限制互联网|Restrict Citizen + Flatter Mao Zedong + Restrict Internet
約束公民+吹捧毛澤東+限制互聯網|Restrict Citizen + Flatter Mao Zedong + Restrict Internet
帐户已被删除+周强身居要职+效忠习近平|Account has been deleted + Zhou Qiang Holds Promiment Position + Pledge loyalty to Xi Jinping
民粹主义+习近平+响亮的耳光|Populism + Xi Jinping + Slab in a face
རི+རྒྱལ|
香港独立+维园年宵市场+被封的摊档+政治打压|Hong Kong Independence + Victorial Park New Yark Market + Banned Booth + Political Suppresion
香港獨立+維園年宵市場+被封的攤檔+政治打壓|Hong Kong Independence + Victorial Park New Yark Market + Banned Booth + Political Suppresion
江天勇+要求中国当局+下落|Jiang Tianyong + Demand Chinese Authorities + Whereabouts
江天勇+要求中國當局+下落|Jiang Tianyong + Demand Chinese Authorities + Whereabouts
限制了言论自由+习近平到访+大力干涉民主|Limite Freedom of Speech + Xi Jinping's Visit + Intervene in Democracy
周强用充满火药味+俯首称臣+习近平从上台|Zhou Qiang's Statement has a strong smell of gunpowder + Bow before + Since Xi Jinping took office
争取真普选+支持香港|Fight for True Universal Suffrage + Support Hong Kong
毛泽东发动+暴力的文革+习近平|Mao Zedong Launched + Violent Cultural Revolution + Xi Jinping
毛澤東發動+暴力的文革+習近平|Mao Zedong Launched + Violent Cultural Revolution + Xi Jinping
挑战特朗普+院长周强+司法独立发出的警告|Challenges Trump + Chief Justice Zhou Qiang + Warning Against Judicial Independence
律师笔录+中国酷刑+谢阳|Lawyer's deposition + Chinese Curel Torture + Xie Yang
律師筆錄+中國酷刑+謝陽|Lawyer's deposition + Chinese Curel Torture + Xie Yang
Defenders+China+Human+Rights+arrest|
中国的审查者+血腥动乱+毛的政策|China's Censorship + Bloody Riot + Mao's Policy
中國的審查者+血腥動亂+毛的政策|China's Censorship + Bloody Riot + Mao's Policy
709+李春富+精神分裂|709 + Li Chunfu + Schizophrenia
达赖喇嘛+中间道路+西藏|Dalai Lama + Middle Way + Tibet
達賴喇嘛+中間道路+西藏|Dalai Lama + Middle Way + Tibet
反抗中共|Fight Agasint CCP 
失踪+中国维权律师关注组|Missing + China Human Rights Lawyer Concern Group
维权律师关注+酷刑程度+高智晟|Human Rights Lawyers  Concern Group + Degree of Torture + Gao Zhisheng
中国政坛+党内自由派+清洗残余|Chinese Politics  + Liberals in the CCP + Clean Up the Remnants
被习近平利用+清除政敌+独立司法|Used by Xi Jinping + Clean Up Political Enemies + Judicial Independence
被習近平利用+清除政敵+獨立司法|Used by Xi Jinping + Clean Up Political Enemies + Judicial Independence
周強下台+網絡的封殺+十九大晉身|Zhou Qiang To Step Down + Banned on the Internet + Promoted in 19th Party Congress
遑论最高法院+周强院长辞职+拱手送给西方|Not To Mention The Supreme Court + Chief Justice Zhou Qiang (should) Resignate + Hand Over to the West
谨以公民身份+敦请周强院长+引咎辞职|As A Citizen + Ask Chief Justice + Take the Blame to Himself and Resign
謹以公民身份+敦請周強院長+引咎辭職|As A Citizen + Ask Chief Justice + Take the Blame to Himself and Resign
欧盟不停批评+关闭自己的市场+习近平|EU Keeps Criticizing + Close its Own Market + Xi Jinping
歐盟不停批評+關閉自己的市場+習近平|EU Keeps Criticizing + Close its Own Market + Xi Jinping
远华+贾庆林+江泽民|Yuanhua + Jia Qinglin + Jiang Zemin
惩罚中国+自身垮台+习近平|Punish China + Collapse By Itself + Xi Jinping
逼迫北京+一边倒的贸易+阻止特朗普|Force Beijing + Lopsided trade + Stop Trump
逼迫北京+一邊倒的貿易+阻止特朗普|Force Beijing + Lopsided trade + Stop Trump
习近平+纳那亚卡拉分析+腐败的根源|Xi Jingping + Nanayakkara Analyzed + Roots of Corruption
